id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id2875421,2,2016-03-14 17:24:55,2016-03-14 17:32:30,1,-73.982154846191406,40.767936706542969,-73.964630126953125,40.765602111816406,N,455
id2377394,1,2016-06-12 00:43:35,2016-06-12 00:54:38,1,-73.980415344238281,40.738563537597656,-73.999481201171875,40.731151580810547,N,663
id3858529,2,2016-01-19 11:35:24,2016-01-19 12:10:48,1,-73.979026794433594,40.763938903808594,-74.005332946777344,40.710086822509766,N,2124
id3504673,2,2016-04-06 19:32:31,2016-04-06 19:39:40,1,-74.010040283203125,40.719970703125,-74.01226806640625,40.706718444824219,N,429
id2181028,2,2016-03-26 13:30:55,2016-03-26 13:38:10,1,-73.973052978515625,40.793209075927734,-73.972923278808594,40.782520294189453,N,435
id0801584,2,2016-01-30 22:01:40,2016-01-30 22:09:03,6,-73.982856750488281,40.742195129394531,-73.992080688476562,40.749183654785156,N,443
id1813257,1,2016-06-17 22:34:59,2016-06-17 22:40:40,4,-73.969017028808594,40.757839202880859,-73.957405090332031,40.765895843505859,N,341
id1324603,2,2016-05-21 07:54:58,2016-05-21 08:20:49,1,-73.969276428222656,40.797779083251953,-73.922470092773438,40.76055908203125,N,1551
id1301050,1,2016-05-27 23:12:23,2016-05-27 23:16:38,1,-73.999481201171875,40.738399505615234,-73.985786437988281,40.732814788818359,N,255
id0012891,2,2016-03-10 21:45:01,2016-03-10 22:05:26,1,-73.981048583984375,40.744338989257813,-73.972999572753906,40.789989471435547,N,1225
id1436371,2,2016-05-10 22:08:41,2016-05-10 22:29:55,1,-73.982650756835938,40.763839721679688,-74.002227783203125,40.732990264892578,N,1274
id1299289,2,2016-05-15 11:16:11,2016-05-15 11:34:59,4,-73.991531372070313,40.749439239501953,-73.95654296875,40.7706298828125,N,1128
id1187965,2,2016-02-19 09:52:46,2016-02-19 10:11:20,2,-73.962982177734375,40.756679534912109,-73.984405517578125,40.760719299316406,N,1114
id0799785,2,2016-06-01 20:58:29,2016-06-01 21:02:49,1,-73.956306457519531,40.767940521240234,-73.966110229492188,40.76300048828125,N,260
id2900608,2,2016-05-27 00:43:36,2016-05-27 01:07:10,1,-73.992195129394531,40.727226257324219,-73.974655151367188,40.783069610595703,N,1414
id3319787,1,2016-05-16 15:29:02,2016-05-16 15:32:33,1,-73.955513000488281,40.768592834472656,-73.948760986328125,40.77154541015625,N,211
id3379579,2,2016-04-11 17:29:50,2016-04-11 18:08:26,1,-73.991165161132813,40.755561828613281,-73.999290466308594,40.725353240966797,N,2316
id1154431,1,2016-04-14 08:48:26,2016-04-14 09:00:37,1,-73.994255065917969,40.745803833007813,-73.999656677246094,40.723342895507813,N,731
id3552682,1,2016-06-27 09:55:13,2016-06-27 10:17:10,1,-74.003982543945313,40.7130126953125,-73.979194641113281,40.749923706054688,N,1317
id3390316,2,2016-06-05 13:47:23,2016-06-05 13:51:34,1,-73.98388671875,40.738197326660156,-73.991203308105469,40.727870941162109,N,251
id2070428,1,2016-02-28 02:23:02,2016-02-28 02:31:08,1,-73.980369567871094,40.742420196533203,-73.962852478027344,40.760635375976563,N,486
id0809232,2,2016-04-01 12:12:25,2016-04-01 12:23:17,1,-73.979537963867188,40.753360748291016,-73.963996887207031,40.763458251953125,N,652
id2352683,1,2016-04-09 03:34:27,2016-04-09 03:41:30,1,-73.995864868164063,40.758811950683594,-73.993324279785156,40.740322113037109,N,423
id1603037,1,2016-06-25 10:36:26,2016-06-25 10:55:49,1,-73.993553161621094,40.747173309326172,-74.006141662597656,40.704383850097656,N,1163
id3321406,2,2016-06-03 08:15:05,2016-06-03 08:56:30,1,-73.955230712890625,40.777133941650391,-73.788749694824219,40.641471862792969,N,2485
id0129640,2,2016-02-14 13:27:56,2016-02-14 13:49:19,1,-73.956581115722656,40.771358489990234,-73.974967956542969,40.732791900634766,N,1283
id3587298,1,2016-02-27 21:56:01,2016-02-27 22:14:51,1,-73.9837646484375,40.749874114990234,-73.958831787109375,40.800960540771484,N,1130
id2104175,1,2016-06-20 23:07:16,2016-06-20 23:18:50,1,-73.95843505859375,40.713191986083984,-73.949539184570312,40.680252075195313,N,694
id3973319,2,2016-06-13 21:57:27,2016-06-13 22:12:19,1,-73.994216918945313,40.713306427001953,-73.98284912109375,40.692298889160156,N,892
id1410897,1,2016-03-23 14:10:39,2016-03-23 14:49:30,1,-73.98211669921875,40.756351470947266,-73.865692138671875,40.770988464355469,N,2331
id0266980,1,2016-05-17 10:47:51,2016-05-17 11:12:30,1,-73.970939636230469,40.761669158935547,-73.996238708496094,40.725368499755859,N,1479
id2822549,2,2016-05-21 13:03:24,2016-05-21 13:20:52,1,-73.998268127441406,40.720039367675781,-74.010360717773438,40.672138214111328,N,1048
id3075902,2,2016-05-10 19:27:38,2016-05-10 19:44:40,2,-74.005500793457031,40.706588745117187,-73.985816955566406,40.74420166015625,N,1022
id0023813,1,2016-04-17 14:38:30,2016-04-17 15:16:19,1,-73.990310668945313,40.756580352783203,-73.870918273925781,40.773929595947266,N,2269
id3970352,1,2016-01-09 12:55:35,2016-01-09 13:07:22,1,-74.008995056152344,40.712589263916016,-73.998634338378906,40.722808837890625,N,707
id3361153,1,2016-03-11 07:11:23,2016-03-11 07:20:09,1,-73.994560241699219,40.750526428222656,-73.978500366210938,40.756191253662109,N,526
id1870624,1,2016-01-05 15:29:54,2016-01-05 15:39:07,3,-73.951515197753906,40.770248413085937,-73.958526611328125,40.761516571044922,N,553
id2403238,1,2016-06-23 23:00:09,2016-06-23 23:04:46,1,-73.988067626953125,40.728080749511719,-73.980751037597656,40.721469879150391,N,277
id3323083,1,2016-05-27 14:26:12,2016-05-27 14:46:01,2,-73.978126525878906,40.758342742919922,-73.99224853515625,40.730541229248047,N,1189
id3720663,1,2016-05-10 16:14:56,2016-05-10 16:40:19,1,-73.977767944335937,40.774078369140625,-73.9471435546875,40.775993347167969,N,1523
id0578558,1,2016-04-21 21:28:27,2016-04-21 21:52:37,2,-73.988548278808594,40.745979309082031,-73.97088623046875,40.793384552001953,N,1450
id2573056,2,2016-04-14 13:27:52,2016-04-14 13:46:14,2,-73.974723815917969,40.751136779785156,-73.954444885253906,40.764118194580078,N,1102
id2129090,1,2016-03-14 14:05:39,2016-03-14 14:28:05,1,-73.975090026855469,40.758766174316406,-73.953201293945313,40.765068054199219,N,1346
id3961107,1,2016-03-19 01:12:46,2016-03-19 01:18:49,1,-73.976470947265625,40.739780426025391,-73.980667114257813,40.729965209960938,N,363
id3326491,2,2016-02-12 07:41:56,2016-02-12 07:51:15,1,-73.979644775390625,40.739631652832031,-73.994728088378906,40.723495483398438,N,559
id0718344,2,2016-06-13 15:52:20,2016-06-13 16:16:58,1,-74.016326904296875,40.704990386962891,-73.982109069824219,40.773750305175781,N,1478
